id,name,variant,price,brand,image_name,image_url,category
640005-21625_6330,Leichte Steppweste mit Stehkragen,fusion coral,99.99,gerry weber,leichte-steppweste-mit-stehkragen-01.jpg,https://pic.gerryweber.com/static/i/14_640005-21625_6330_01/pdmain/leichte-steppweste-mit-stehkragen-01.jpg,Jacken
640006-21604_7210,Lange Steppweste mit Kapuze,cocoa brown,99.99,gerry weber,lange-steppweste-mit-kapuze-01.jpg,https://pic.gerryweber.com/static/i/14_640006-21604_7210_01/pdmain/lange-steppweste-mit-kapuze-01.jpg,Jacken
650003-21501_2990,Steppjacke im Metallic-Look,silver metal,129.99,gerry weber,steppjacke-im-metallic-look-02.jpg,https://pic.gerryweber.com/static/i/14_650003-21501_2990_02/pdmain/steppjacke-im-metallic-look-02.jpg,Jacken
650004-21623_8360,Leichte Steppjacke,cameo blue,129.99,gerry weber,leichte-steppjacke-01.jpg,https://pic.gerryweber.com/static/i/14_650004-21623_8360_01/pdmain/leichte-steppjacke-01.jpg,Jacken
650006-27810_6330,Leichter Kurzmantel,fusion coral,139.99,gerry weber,leichter-kurzmantel-01.jpg,https://pic.gerryweber.com/static/i/14_650006-27810_6330_01/pdmain/leichter-kurzmantel-01.jpg,Jacken
650006-27810_8360,Leichter Kurzmantel,cameo blue,139.99,gerry weber,leichter-kurzmantel-01.jpg,https://pic.gerryweber.com/static/i/14_650006-27810_8360_01/pdmain/leichter-kurzmantel-01.jpg,Jacken
650008-21601_9200,Leichter Parka mit Kapuze,pearl,159.99,gerry weber,leichter-parka-mit-kapuze-01.jpg,https://pic.gerryweber.com/static/i/14_650008-21601_9200_01/pdmain/leichter-parka-mit-kapuze-01.jpg,Jacken
650009-21600_1102,Leichter Parka mit Zebra-Dessin,black gemustert,169.99,gerry weber,leichter-parka-mit-zebra-dessin-01.jpg,https://pic.gerryweber.com/static/i/14_650009-21600_1102_01/pdmain/leichter-parka-mit-zebra-dessin-01.jpg,Jacken
660001-21000_1102,Hemdbluse mit Hahnentritttmuster,black gemustert,49.99,gerry weber,hemdbluse-mit-hahnentritttmuster-01.jpg,https://pic.gerryweber.com/static/i/14_660001-21000_1102_01/pdmain/hemdbluse-mit-hahnentritttmuster-01.jpg,Oberteile
660002-21002_4110,Bluse aus fließender Viskose,blazing yellow,49.99,gerry weber,bluse-aus-fliessender-viskose-02.jpg,https://pic.gerryweber.com/static/i/14_660002-21002_4110_02/pdmain/bluse-aus-fliessender-viskose-02.jpg,Oberteile
660003-21001_1102,Bluse mit Hahnentrittmuster,black gemustert,49.99,gerry weber,bluse-mit-hahnentrittmuster-01.jpg,https://pic.gerryweber.com/static/i/14_660003-21001_1102_01/pdmain/bluse-mit-hahnentrittmuster-01.jpg,Oberteile
660005-21008_8360,Hemdbluse aus feinem Satin,cameo blue,49.99,gerry weber,hemdbluse-aus-feinem-satin-01.jpg,https://pic.gerryweber.com/static/i/14_660005-21008_8360_01/pdmain/hemdbluse-aus-feinem-satin-01.jpg,Oberteile
660010-21027_9702,Legere Bluse mit Rundhals EcoVero,offwhite gemustert,49.99,gerry weber,legere-bluse-mit-rundhals-ecovero-01.jpg,https://pic.gerryweber.com/static/i/14_660010-21027_9702_01/pdmain/legere-bluse-mit-rundhals-ecovero-01.jpg,Oberteile
660011-21021_1100,Tunika mit Schnürung am Ausschnitt,black,79.99,gerry weber,tunika-mit-schnuerung-am-ausschnitt-01.jpg,https://pic.gerryweber.com/static/i/14_660011-21021_1100_01/pdmain/tunika-mit-schnuerung-am-ausschnitt-01.jpg,Oberteile
660012-21042_5322,Blusenshirt mit Blätter-Print,citronella gemustert,59.99,gerry weber,blusenshirt-mit-blaetter-print-01.jpg,https://pic.gerryweber.com/static/i/14_660012-21042_5322_01/pdmain/blusenshirt-mit-blaetter-print-01.jpg,Oberteile
660013-21041_5322,Longbluse mit Blätter-Print aus Organic Cotton,citronella gemustert,79.99,gerry weber,longbluse-mit-blaetter-print-aus-organic-cotton-02.jpg,https://pic.gerryweber.com/static/i/14_660013-21041_5322_02/pdmain/longbluse-mit-blaetter-print-aus-organic-cotton-02.jpg,Oberteile
660018-21050_8362,Ärmellose Bluse mit Allover-Print,cameo blue gemustert,69.99,gerry weber,aermellose-bluse-mit-allover-print-02.jpg,https://pic.gerryweber.com/static/i/14_660018-21050_8362_02/pdmain/aermellose-bluse-mit-allover-print-02.jpg,Oberteile
660200-21006_8102,Blusenshirt mit Saumraffung,navy gemustert,49.99,gerry weber,blusenshirt-mit-saumraffung-01.jpg,https://pic.gerryweber.com/static/i/14_660200-21006_8102_01/pdmain/blusenshirt-mit-saumraffung-01.jpg,Oberteile
